Date / Time,Temperature [C],DissolvedOxygen [mg/l],Turbidity [NTU],pH [Units],OxidationReductionPotential [mV ],SpecificConductivity [µs/cm]
10/12/2014 0:02,16.53,8.01,2.9,8.23,543,681
10/12/2014 0:05,16.53,7.99,2.9,8.23,542,680
10/12/2014 0:08,16.53,7.98,6.5,8.23,542,681
10/12/2014 0:11,16.52,8.02,2.9,8.24,543,681
10/12/2014 0:14,16.52,8.02,2.8,8.24,543,681
10/12/2014 0:17,16.51,8.03,2.8,8.24,543,681
10/12/2014 0:20,16.51,8.03,2.8,8.24,543,681
10/12/2014 0:23,16.51,8.02,2.6,8.24,544,681
10/12/2014 0:26,16.51,8,2.7,8.24,544,682
10/12/2014 0:29,16.5,8.01,2.8,8.23,543,682
10/12/2014 0:32,16.5,8,2.9,8.23,544,682
10/12/2014 0:35,16.5,7.96,3.1,8.23,544,681
10/12/2014 0:38,16.5,7.97,2.8,8.23,544,681
10/12/2014 0:41,16.49,7.97,2.6,8.23,544,681
10/12/2014 0:44,16.49,7.96,2.7,8.23,545,681
10/12/2014 0:47,16.49,7.98,2.7,8.22,544,680
10/12/2014 0:50,16.48,7.95,3.3,8.22,544,680
10/12/2014 0:53,16.48,7.96,4.2,8.22,544,679
10/12/2014 0:56,16.48,7.94,4.9,8.22,544,679
10/12/2014 0:59,16.47,7.97,4.7,8.22,544,679
10/12/2014 1:02,16.47,7.94,5,8.22,544,678
10/12/2014 1:05,16.47,7.95,6,8.22,544,675
10/12/2014 1:08,16.46,7.96,7.2,8.22,544,672
10/12/2014 1:11,16.46,7.96,7.1,8.22,544,669
10/12/2014 1:14,16.44,7.97,6.6,8.22,544,665
10/12/2014 1:17,16.45,7.94,7.1,8.21,543,661
10/12/2014 1:20,16.46,7.92,6.8,8.21,543,655
10/12/2014 1:23,16.49,7.9,7.6,8.2,541,649
10/12/2014 1:26,16.51,7.87,8,8.2,540,642
10/12/2014 1:29,16.54,7.83,7.9,8.19,538,634
10/12/2014 1:32,16.57,7.83,7.5,8.19,536,625
10/12/2014 1:35,16.58,7.81,7.2,8.19,535,622
10/12/2014 1:38,16.58,7.79,7.9,8.18,534,617
10/12/2014 1:41,16.58,7.78,8.2,8.17,533,612
10/12/2014 1:44,16.58,7.74,8.5,8.17,533,610
10/12/2014 1:47,16.57,7.74,8.5,8.16,533,607
10/12/2014 1:50,16.57,7.72,8.5,8.16,533,605
10/12/2014 1:53,16.56,7.76,8.8,8.16,533,604
10/12/2014 1:56,16.56,7.77,8.7,8.16,533,606
10/12/2014 1:59,16.54,7.74,8.2,8.16,533,608
10/12/2014 2:02,16.53,7.78,8,8.16,534,611
10/12/2014 2:05,16.51,7.8,7.5,8.16,534,615
10/12/2014 2:08,16.5,7.79,7.4,8.16,535,620
10/12/2014 2:11,16.48,7.82,7,8.16,535,624
10/12/2014 2:14,16.46,7.82,7,8.17,536,627
10/12/2014 2:17,16.44,7.82,7.2,8.16,536,629
10/12/2014 2:20,16.42,7.8,7.6,8.16,537,631
10/12/2014 2:23,16.41,7.78,99.6,8.15,537,631
10/12/2014 2:26,16.39,7.82,8.2,8.15,537,632
